title,location,estimation,viewCount,reviewCount,foodType,price,runTime,geo_1,geo_2,geo_3,geo,위도,경도
스시오마주,서울시 강남구 신사동 540-19 B1 102호,4.3,14321.0,18.0,회 / 스시,4만원 이상,12:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"양식당더램키친
                                    (2호점)",서울시 강남구 신사동 529-6,4.3,137204.0,68.0,고기 요리,3만원-4만원,월-금: 18:00 - 24:00 토-일: 18:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
컨플릭트 스토어,서울시 강남구 신사동 543,4.3,49439.0,59.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
관계,서울시 강남구 신사동 556-29,4.3,46631.0,31.0,고기 요리,2만원-3만원,토-목: 18:00 - 02:00 금: 18:00 - 03:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
맥파이앤타이거 신사티룸,서울시 강남구 신사동 555-12 클레어스서울 2F,4.3,11858.0,9.0,카페 / 디저트,만원-2만원,수-일: 13:00 - 20:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
우니도,서울시 강남구 신사동 522 1F,4.3,9912.0,14.0,돈부리 / 일본 카레 / 벤토,만원-2만원,11:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
오라방,서울시 강남구 신사동 544-26,4.3,34629.0,16.0,한정식 / 백반 / 정통 한식,2만원-3만원,18:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
획,서울시 강남구 신사동 517-10,4.3,11626.0,8.0,칵테일 / 와인,2만원-3만원,화-토: 17:00 - 23:00 일: 17:00 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
유희,서울시 강남구 신사동 518-14 B1,4.3,3819.0,8.0,칵테일 / 와인,2만원-3만원,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
리커테이션,서울시 강남구 신사동 532-4 마사빌딩 B1,4.3,14242.0,14.0,칵테일 / 와인,만원-2만원,18:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
온다,서울시 강남구 신사동 517-31 1-2F,4.3,8831.0,7.0,이탈리안,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
미미면가,서울시 강남구 신사동 521-16,4.2,244974.0,343.0,라멘 / 소바 / 우동,만원-2만원,11:30 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"오리지널팬케이크하우스
                                    (가로수길점)",서울시 강남구 신사동 523-20 동원빌딩 1F,4.2,355734.0,347.0,브런치 / 버거 / 샌드위치,만원-2만원,월-금: 09:00-21:00 토-일: 08:00-21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
SOOT (휴업중),서울시 강남구 신사동 561-35,4.2,197362.0,66.0,퓨전 양식,2만원-3만원,17:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
쇼토,서울시 강남구 신사동 550-14 1F,4.2,60235.0,95.0,베이커리,만원 미만,12:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
오르비에토,서울시 강남구 신사동 559-30 103호,4.2,40468.0,32.0,이탈리안,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
크라운돼지,서울시 강남구 신사동 510-9,4.2,24056.0,31.0,고기 요리,2만원-3만원,월-토: 17:00 - 24:00 일: 17:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
티이,서울시 강남구 신사동 521 1F,4.2,1008.0,5.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
램브라튼,서울시 강남구 신사동 524-28 1F,4.2,88357.0,53.0,스테이크 / 바베큐,4만원 이상,17:30 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
코이에,서울시 강남구 신사동 560-1 B1,4.2,46585.0,21.0,정통 일식 / 일반 일식,3만원-4만원,18:00 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
신사전,서울시 강남구 신사동 536-3,4.2,26681.0,20.0,한정식 / 백반 / 정통 한식,2만원-3만원,11:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
쮸즈,서울시 강남구 신사동 540-4,4.1,430370.0,479.0,딤섬 / 만두,만원 미만,11:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
소나,서울시 강남구 신사동 520-1 2F 201호,4.1,209965.0,198.0,카페 / 디저트,만원-2만원,12:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
비파티세리,서울시 강남구 신사동 546-17,4.1,81438.0,132.0,베이커리,만원 미만,10:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"우유니아이스크림
                                    (신사점)",서울시 강남구 신사동 529-6 1F,4.1,110355.0,208.0,카페 / 디저트,만원 미만,10:00 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
야사이마끼 쿠이신보,서울시 강남구 신사동 539-1 1F,4.1,75372.0,42.0,이자카야 / 오뎅 / 꼬치,2만원-3만원,월-목: 17:30 - 01:00 금-토: 17:30 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
한잔의추억,서울시 강남구 신사동 549-9,4.1,87589.0,237.0,치킨 / 호프 / 펍,만원-2만원,17:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"목포집
                                    (1호점)",서울시 강남구 신사동 514-3,4.1,198388.0,206.0,탕 / 찌개 / 전골,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
야키토리 요이사,서울시 강남구 신사동 525-19,4.1,8595.0,15.0,이자카야 / 오뎅 / 꼬치,2만원-3만원,18:00 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
아이뽀유,서울시 강남구 신사동 561-19,4.1,19657.0,27.0,베트남 음식,2만원-3만원,07:30 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
마카롱쿠튀르,서울시 강남구 신사동 525-9,4.1,21933.0,29.0,카페 / 디저트,만원 미만,월-금: 12:30 - 19:30 토:12:30 - 19:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
네기다이닝라운지,서울시 강남구 신사동 540 4F,4.1,43300.0,28.0,정통 일식 / 일반 일식,2만원-3만원,18:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
복싱타이거,서울시 강남구 신사동 510-3 B1,4.1,19294.0,21.0,칵테일 / 와인,2만원-3만원,20:00 - 03:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"심퍼티쿠시
                                    (가로수길점)",서울시 강남구 신사동 512-3 1F 101호,4.1,17998.0,21.0,칵테일 / 와인,2만원-3만원,12:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
노이에아트멍,서울시 강남구 신사동 559-9,4.1,18503.0,27.0,카페 / 디저트,만원 미만,10:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
두화가,서울시 강남구 신사동 518 청안빌딩 1F,4.1,979.0,5.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
해남집,서울시 강남구 신사동 508-3,4.1,27340.0,11.0,해산물 요리,만원-2만원,월-금: 11:30 - 22:00 토: 11:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
하나비카레,서울시 강남구 신사동 511-8 1F,4.1,4358.0,8.0,돈부리 / 일본 카레 / 벤토,만원-2만원,11:30 - 20:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
신사랑,서울시 강남구 신사동 519-1 1F,4.1,3680.0,7.0,돈부리 / 일본 카레 / 벤토,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
태공치킨,서울시 강남구 신사동 515,4.1,3978.0,6.0,일반 주점,만원-2만원,16:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"브루클린더버거조인트
                                    (가로수길점)",서울시 강남구 신사동 540-11 가로수빌딩,4.0,153601.0,329.0,브런치 / 버거 / 샌드위치,만원 미만,11:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
송쉐프,서울시 강남구 신사동 507-11,4.0,198763.0,149.0,정통 중식 / 일반 중식,만원 미만,11:30 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
에뚜왈,서울시 강남구 신사동 534-8 B1,4.0,103419.0,174.0,베이커리,만원 미만,12:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
청수당갤러리,서울시 강남구 신사동 544-9 1F,4.0,44983.0,44.0,카페 / 디저트,만원 미만,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
엘피노323,서울시 강남구 신사동 504-11 신사스퀘어 205호,4.0,77637.0,51.0,남미 음식,만원-2만원,11:30 - 21:50,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
하이볼가든,서울시 강남구 신사동 552-3,4.0,53089.0,38.0,치킨 / 호프 / 펍,만원-2만원,15:00 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
세인트그릴,서울시 강남구 신사동 550-8,4.0,24643.0,29.0,브런치 / 버거 / 샌드위치,만원-2만원,00:00 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
바챕터원,서울시 강남구 신사동 525-19,4.0,21132.0,27.0,칵테일 / 와인,2만원-3만원,월-토: 19:30 - 03:00 일: 19:30 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"구스테이크 528
                                    (본점)",서울시 강남구 신사동 528-3 덕산빌딩,4.0,67043.0,42.0,스테이크 / 바베큐,4만원 이상,월-토: 18:00 - 23:00 일: 18:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"뻐꾸기
                                    (본점)",서울시 강남구 신사동 561-17,4.0,44929.0,48.0,전통 주점 / 포차,만원-2만원,17:00 - 04:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
신사모소리,서울시 강남구 신사동 510,4.0,18682.0,21.0,고기 요리,만원-2만원,17:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
대봉집,서울시 강남구 신사동 516-18,4.0,6353.0,10.0,고기 요리,만원-2만원,월-금: 11:30 - 02:00 토-일: 17:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"카페꼼마&얀 쿠브레
                                    (신사점)",서울시 강남구 신사동 504-11,4.0,3589.0,11.0,베이커리,만원 미만,09:00 - 20:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
김북순큰남비집,서울시 강남구 신사동 522 신사아이빌 1F,4.0,64469.0,51.0,한정식 / 백반 / 정통 한식,만원 미만,월-금: 10:30 - 22:30 토: 10:30 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
켄카,서울시 강남구 신사동 540-21,4.0,16893.0,18.0,이자카야 / 오뎅 / 꼬치,2만원-3만원,16:30 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
샤블리,서울시 강남구 신사동 515-9 2F,4.0,19102.0,19.0,탕 / 찌개 / 전골,만원-2만원,월-토: 11:30 - 23:00 일: 11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
안주집,서울시 강남구 신사동 535-7,4.0,2180.0,7.0,일반 주점,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
파치노 에스프레소바,서울시 강남구 신사동 523-18 1F,4.0,339.0,6.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"미분당
                                    (신사점)",서울시 강남구 신사동 511-20 1F,4.0,4065.0,6.0,베트남 음식,만원 미만,11:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
니블스,서울시 강남구 신사동 551-11 103호,4.0,1995.0,5.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"빈터커피
                                    (3호점)",서울시 강남구 신사동 524 101호,4.0,2184.0,7.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
좋은자리,서울시 강남구 신사동 540-19,4.0,1884.0,4.0,일반 주점,만원-2만원,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
감성타코앤그릴,서울시 강남구 신사동 523-16,3.9,101129.0,136.0,남미 음식,만원-2만원,월-금: 11:30 - 23:00 토-일: 12:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
다이칸야마키친,서울시 강남구 신사동 524-19 1F,3.9,53933.0,76.0,퓨전 일식,만원-2만원,11:30 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
그레이 그리스트밀,서울시 강남구 신사동 522,3.9,20398.0,31.0,카페 / 디저트,만원 미만,월-금: 11:00 - 21:30 토-일: 12:00 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"나따오비까
                                    (가로수길점)",서울시 강남구 신사동 519-28 1F,3.9,17015.0,48.0,카페 / 디저트,만원 미만,월-금: 08:00 - 23:00 토-일: 10:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
스몰디쉬빅쇼,서울시 강남구 신사동 524-1 1F,3.9,15491.0,30.0,다국적 아시아 음식,만원-2만원,12:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"대가방
                                    (압구정동점)",서울시 강남구 신사동 549-8,3.9,71695.0,86.0,정통 중식 / 일반 중식,만원 미만,11:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
춘식당,서울시 강남구 신사동 559-10 1F,3.9,17207.0,14.0,전통 주점 / 포차,3만원-4만원,월-목: 11:30 - 02:00 금: 11:30 - 03:00 토: 18:00 - 03:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
웻커피,서울시 강남구 신사동 507-3 1F,3.9,13498.0,22.0,카페 / 디저트,만원 미만,10:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"올드페리도넛
                                    (가로수길점)",서울시 강남구 신사동 521-20,3.9,4089.0,16.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
이치서울,서울시 강남구 신사동 508-6 2F,3.9,9448.0,27.0,카페 / 디저트,만원 미만,11:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
카카오빈,서울시 강남구 신사동 544-28 1F,3.9,19287.0,22.0,카페 / 디저트,만원 미만,10:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
