Addr,Score
"
서울 동작구 상도로45길 11 1층
(지번) 상도1동 361-3
",5.0
"
서울 동작구 장승배기로20가길 2
(지번) 노량진동 230-1
",4.4
"
서울 동작구 상도로30길 39 상도두산위브아파트 120동 상가 101호
(지번) 상도동 529
",5.0
"
서울 동작구 상도로22길 38
(지번) 상도동 194-28
",4.9
"
서울 동작구 상도로26길 22 1층
(지번) 상도동 183-29
",3.3
"
서울 동작구 만양로18길 15 1층
(지번) 노량진동 148-57
",4.7
"
서울 동작구 상도로 145 1층
(지번) 상도동 188-5
",3.6
"
서울 동작구 상도로47길 17 1층
(지번) 상도1동 355
",5.0
"
서울 동작구 상도로47길 4
(지번) 상도동 463-2
",4.0
"
서울 동작구 상도로34길 12 1층
(지번) 상도동 29-33
",4.8
"
서울 동작구 상도로37길 66
(지번) 상도동 477
",2.5
"
서울 동작구 서달로12가길 5
(지번) 흑석동 97-22
",4.4
"
서울 동작구 만양로 100
(지번) 노량진동 118-5
",2.5
"
서울 동작구 상도로38가길 13
(지번) 상도1동 737-1
",0.0
"
서울 동작구 상도로 210 1층
(지번) 상도동 26-36
",4.1
"
서울 동작구 상도로26길 12
(지번) 상도동 183-13
",4.0
"
서울 동작구 흑석로 101-7 1층
(지번) 흑석동 184-19
",4.1
"
서울 동작구 만양로18길 18 1층
(지번) 노량진동 126-11
",4.4
"
서울 동작구 등용로 2
(지번) 상도동 365-4
",3.9
"
서울 동작구 만양로 100
(지번) 노량진동 118-5
",4.2
"
서울 동작구 만양로14길 4-1 1층
(지번) 노량진동 123-10
",4.1
"
서울 동작구 상도로34길 19
(지번) 상도동 154-9
",0.0
"
서울 동작구 상도로 279
(지번) 상도1동 775-1
",0.0
"
서울 동작구 양녕로 273
(지번) 상도1동 625
",1.7
"
서울 동작구 흑석로 23 1층
(지번) 상도동 7-59
",3.4
"
서울 동작구 상도로47길 4 1층
(지번) 상도동 463-2
",5.0
"
서울 동작구 서달로15길 23 1층 6호
(지번) 흑석동 181-1
",4.4
"
서울 동작구 흑석로 83-1 1층
(지번) 흑석동 190-26
",3.3
"
서울 동작구 상도로30길 39 상도두산위브아파트 근란생활시설 120동 109호
(지번) 상도동 529
",3.8
"
서울 동작구 흑석로 106-5 2층
(지번) 흑석동 102-25
",3.6
"
서울 동작구 흑석로 111-5
(지번) 흑석동 181-15
",4.6
"
서울 동작구 상도로34길 27
(지번) 상도동 155
",4.8
"
서울 동작구 상도로 196 2층
(지번) 상도동 373-11
",5.0
"
서울 동작구 만양로14가길 4
(지번) 노량진동 124-10
",2.2
"
서울 동작구 흑석로9길 13
(지번) 흑석동 190-30
",4.2
"
서울 동작구 상도로47길 4
(지번) 상도동 463-2
",4.5
"
서울 동작구 상도로38길 3-20 1층
(지번) 상도1동 804-1
",0.0
"
서울 동작구 상도로 283
(지번) 상도1동 773-2
",5.0
"
서울 동작구 상도로56길 4
(지번) 상도동 474-16
",4.3
"
서울 동작구 흑석로 95-1
(지번) 흑석동 190-3
",3.6
"
서울 동작구 흑석로 87 2층
(지번) 흑석동 190-41
",4.6
"
서울 동작구 상도로 246
(지번) 상도동 32-10
",2.0
"
서울 동작구 만양로 92 1층
(지번) 노량진동 119-158
",2.8
"
서울 동작구 양녕로22가길 67 2층
(지번) 상도동 214-291
",4.6
"
서울 동작구 흑석로13길 9 1층
(지번) 흑석동 177-1
",4.1
"
서울 동작구 서달로14가길 9 1층
(지번) 흑석동 105-6
",4.7
"
서울 동작구 만양로 40-2
(지번) 노량진동 215-138
",4.4
"
서울 동작구 만양로16길 6 1층
(지번) 노량진동 119-176
",3.6
"
서울 동작구 장승배기로 5
(지번) 상도동 208-10
",4.0
"
서울 동작구 상도로47길 10
(지번) 상도동 464-32
",3.7
"
서울 동작구 상도로 317-1
(지번) 상도1동 258
",3.0
"
서울 동작구 서달로14길 11
(지번) 흑석동 6-21
",4.2
"
서울 동작구 장승배기로 33 1층
(지번) 상도동 201-73
",5.0
"
서울 동작구 만양로14길 21
(지번) 노량진동 124-9
",4.4
"
서울 동작구 만양로18길 14
(지번) 노량진동 126-14
",2.4
"
서울 동작구 장승배기로21길 2 1층
(지번) 노량진동 231-72
",3.9
"
서울 동작구 상도로 296-2
(지번) 상도1동 389-12
",3.3
"
서울 동작구 노량진로14다길 16 1층
(지번) 노량진동 119-18
",
"
서울 동작구 서달로 166 1층
(지번) 흑석동 99-1
",3.3
"
서울 동작구 노량진로14가길 16
(지번) 노량진동 85-37
",2.7
"
서울 동작구 흑석로6길 12
(지번) 흑석동 207-65
",4.0
